seller,quantity_sold,seller_sales
"Nissan Infiniti Lt",22784,380279191
"Ford Motor Credit Company Llc",14759,259865825
"The Hertz Corporation",15640,215404988
"Avis Corporation",10861,175522280
"Financial Services Remarketing (Lease)",4123,116194350
"Santander Consumer",13496,107737090
"Enterprise Veh Exchange/Rental",5476,100269186
"Tdaf Remarketing",5533,87579625
"Lexus Financial Services",3384,87531050
"Mercedes-benz Financial Services",3139,82622300
"Ahfc/Honda Lease Trust/Hvt Inc. Eot",5438,75719475
"Chrysler Capital",5028,73182400
"Wells Fargo Dealer Services",7569,68335100
"Hyundai Motor Finance",5004,65432750
"Gm Remarketing",3573,64704296
"Jpmorgan Chase Bank N.a.",4842,60961475
"Kia Motors America Inc",3744,60223550
"Ge Fleet Services For Itself/Servicer",5268,59686550
"Toyota Financial Services",3742,54028900
"Ford Motor Credit Company Llc Pd",2980,51827650
"World Omni Financial Corporation",3445,49225500
"Gm Financial",4480,47179328
"Avis Budget Group",2466,47054350
"Ford Motor Credit Company",1939,40517200
"Ford-lincoln Dealer Program",1969,39663760
"Nissan North America Inc.",1669,38556760
"Dtg Operations Inc",3421,38250727
"Hertz Corporation/Gdp",2137,36008250
"Lease Plan Usa",3098,35418575
"Ars/Avis Budget Group",1899,33576575
"Ahfc/Honda Lease Trust/Hvt Inc.",2287,33454350
"High Bid Trading Co Inc",1627,32011450
"Capital One Auto Finance",3483,30999130
U-haul,1534,29994601
"Automobiles Paille Inc",1643,29754784
"Fiserv/Usb Dealer Services Northstar Exchange",1459,28935550
"Wholesale Inc # 2",1403,28044100
"Wheels Exchange Llc",2372,27687350
"Subaru Of America",1252,27019250
"Toyota Motor Sales Usa Inc/Program",1641,26400900
"Nissan Motor Acceptance Corporation",1969,25992100
"Enterprise Vehicle Exchange / Tra / Rental / Tulsa",2312,25817400
"R Hollenshead Auto Sales Inc",1482,24941250
"Kia Motors Finance",1587,20966950
"Bmw North America Greer",499,20241450
"Pv Holding Inc/Gdp",989,18801350
Ars/Enterprise,784,18782900
"Kevins Marysville Auto Sales Inc",1078,18513350
"Hopper Motorplex Inc",885,18087150
"Dt Credit Corporation",4029,17596424
"Enterprise Holdings/Gdp",937,17454445
"Aaero Sweet Company",1300,17303250
"Music City Autoplex Llc",664,16469050
"Sullivan Auto Group Llc",978,15785000
"Vw Credit",1065,15667350
"Donlen Corporation",1118,15367250
"Exeter Finance Corp",1580,15351781
"Meridian Remarketing",1267,14672150
"Td Auto Finance",1048,14613950
"Infiniti Financial Services",594,12880800
"Unique Autos",679,12572600
"Mercedes-benz Finc Wholesale Advantage",428,12466550
"The Collection",406,12263000
"Larry Hudson Chevrolet Buick Gmc Inc",610,12258650
"Credit Acceptance Corp/Vrs/Southfield",3825,12076425
Ari,1283,11841700
"Gm Financial Leasing",774,11738950
"Porsche Financial Services",190,11668650
"Select Lane",683,11491600
"Avis Rac/San Leandro",764,11367950
"Adcock Brothers Inc",596,11081250
"Pm Standley Motorcars",661,10844200
"Volvo Na Rep/World Omni",404,10598400
"Ahfc/Honda Lease/Trust/Hvt Inc. Eot Acuras",547,10395900
"Enterprise Vehicle Exchange/Orange",598,10269950
"Young Motors Llc",566,10233750
"Stratford Hyundai",498,10198120
"Bmw Na Manheim New Jersey",238,10143600
"Pauley Motor Car Co Preowned Vehicles Llc",628,9887450
"Carworks Inc",645,9815800
"Midtown Motors",503,9711250
"Oriental Bank",1037,9130050
"Regional Acceptance Corporation / Greenville",1123,9128250
"Hyundai Motor America/Co Car",391,9078200
"Chrysler Group Llc",400,8923050
"Enterprise Vehicle Exchange/Davenport",495,8922050
"Barco Rent A Truck",210,8850325
"Us Bank",539,8616550
Ally,599,8477750
"Mazda Motors Of America Inc.",392,8083750
"Bank Of America",521,8009750
"Zimmerman Auto Brokers Inc",442,7837200
"Skyhigh Remarketing Inc",536,7739425
"Ez Rent A Car Inc",505,7482701
"Ars/Ford-lincoln Dealer Program",357,7323700
"Bmw North America",185,7322550
"Exceptional Motorcar Llc",426,7235100
"Premium Auto Wholesale",683,7228800
"Westfall Auto Sales",760,7038490
"Reliance Motors Llc",343,6900700
"Excell Auto Center",312,6899400
"Sixt Rent A Car Llc",238,6702850
"Lester Glenn Buick",947,6691675
"Remarketing By Ge/Flagship Credit Acceptance",718,6681825
"Bmw Mini Financial Services",464,6657750
"Xcar Inc",320,6644005
"American Bank Auto Liquidators",252,6413850
"Onesource/Kendall Toyota",274,6378900
"Braman Motorcars",227,6290800
"Braman Motors",270,6156500
"Enterprise Vehicle Exchange/Dfw Airport",349,6103100
"Hyundai Motor America",363,6002800
"Lexus Of Pembroke Pines",254,5995300
"Westlake Financial Services",1235,5964825
"Fairway Ford Henderson",347,5849650
"D&a Fine Cars",535,5849350
"Texas Direct Auto",577,5833800
"Suntrust Bank",444,5760250
"Bmw Alphera/Alphera Financial Services",424,5685850
"T & K Enterprises Of Mt Airy Inc",358,5649450
"Mercedes-benz Usa",152,5641750
"Lauderdale Imports Ltd Bmw Pembrok Pines",283,5624050
"Firkins Chrysler Jeep Dodge",336,5582930
"Dollar Rac/Seattle",338,5429200
"Fca Us Llc",227,5314251
"Texas Auto Brokers",242,5270177
"Fields Bmw",205,5188000
"Jim Ellis",325,5101000
"American Honda Motor Company",205,5096100
"Fox Rent A Car",427,5076050
"Vw Credit Prequalified",240,4967150
"Fifth Third Bank",439,4936500
Enterprise/Ars,191,4922800
"Mckenna Audi/Mckenna Bmw",201,4876500
"Pro Financial Inc",207,4849600
"Walters Auto Sales/Service Inc",324,4840950
"Runde Chevrolet Inc",250,4816650
"Budget Rac Of Atlanta",216,4774200
"New Look Enterprises Inc",249,4736300
"Lauderdale Bmw Of Fort Lauderdale",234,4667850
"Jm Lexus",185,4613400
"Aaero Sweet Corporation",396,4598100
"Consolidated Asset Recovery Systems Inc.",571,4543750
Ars-cpo,243,4470800
"Ars/Thrifty Car Rental/Greer",134,4374300
"Grace Motors",215,4338275
"Enterprise Fleet Management Exchange Inc.",340,4332350
"Vw Credit Inc",241,4325000
"Rlb Investments",282,4323950
"Lawler Motor Sports Inc",275,4246550
"Bmw North America Raa",92,4241500
"Auto Sails Inc",439,4225650
"Mercedes Benz Of Tampa",327,4209400
"Hyundai Of New Port Richey",343,4186200
"Braman Honda Of Palm Beach",186,4175700
"Dt Inventory",1522,4117625
"Dm Northwest Inc",316,4116400
"Boch New To You Superstore",914,4102100
"Hertz Car Exchange Inc/Oklahoma City",325,4089326
Earnhardt,338,4087800
"Honda Of America Manufacturing",188,4076800
"Capps Rent A Car",127,4063950
"Innovative Auto Llc",322,4061300
"U-haul Technical Center",206,4046450
Hertz/Tra,479,3996703
"Florida Auto Financial Group",275,3985500
"Ez Rent A Car/Orlando",271,3945000
"Woodhouse Ford Inc",199,3940300
"D&m Leasing",316,3881550
"Mercedes Benz Of Buckhead",219,3812350
"Hoehn Motors Inc",221,3804950
"Shirlie Slack Mitsubishi",364,3778000
"Financial Services Remarketing/Rail Cars",140,3732225
"Century Dealer Services Corp",283,3715000
"Toyota Financial Services/Avis Budget Group-open",252,3699450
"Prestige Financial Services",485,3699100
"Cm Investments",254,3631725
"Kern Automotive Group Inc",246,3629075
"Sutton Ford/Ge",303,3607375
"Phillips Auto Brokerage",206,3596850
"First Investors Servicing Corp",347,3574050
"Regional Acceptance Corporation / Greensboro",433,3547350
"Mid City Mcandrew Motors",218,3542850
"Merchants Automotive Group",316,3533100
"Brunson Auto Sales",172,3521405
"Volkswagen Credit Inc/Sc",173,3494850
"Andrew Thomas Motorcars",315,3463400
Ecars,224,3455200
"Cameron Motor Sports",362,3377750
"Myrddin Fleet Services",292,3361625
"Arrowhead Auto Group Inc",289,3347400
"Multi Auto Trading Inc",186,3335500
"Fleet Lease Remarketing",449,3317650
"Adk Auto Brokers Inc",351,3316900
"Bmw Of Mount Laurel",207,3299459
"Par North America",335,3269355
"Consumer Portfolio Services",471,3269250
"Byers Car Rentals Llc",256,3246500
"Lexus Of North Miami",131,3228150
"Dab Auto World & Leasing",351,3213500
"Gateway One Lending & Finance",308,3160750
"San Diego Sports Cars",253,3159125
"Merchants Leasing",273,3155200
"Express Car & Truck Rental",94,3125600
"Chapman Chry Jeep",170,3112200
"Emkay Inc",250,3102300
"Remarketing By Ge/Nextgear Capital",292,3097350
"Financial Services Remarketing - Pickup",108,3067950
"Financial Services Remarketing (Repos)",134,3054650
"Northwestern Chrys/J/D/Ge",280,3031300
"Stratton Auto Sales Inc",152,3010500
"Coral Springs Honda",448,2999850
"Mmca Inc",224,2979250
"Alans Autos",229,2967600
"Bul Connections Llc",208,2944600
"Land Rover North America Llc",41,2929000
"Nextgear Capital",607,2918325
"Crossborder Vehicle Sales Ltd",143,2909885
"Arg Inc",213,2889150
"Kc Landsmen Ars",117,2876100
"U-haul International",150,2830150
"Bmw Of Riverside",157,2825800
"T & S Motors",130,2823650
Autobuy,181,2814600
"Midway Hfc Fleet/Ars",125,2812200
"Fiserv/Crescent Bank & Trust",330,2784050
"American Road Leasing Inc",176,2760000
"Hertz Remarketing",779,2754151
"Pnc Bank National Association",177,2727800
"Prestige Chrysler Jeep Dodge",172,2713650
"Clear View Systems",216,2684150
"Ec Sales Llc",142,2660750
"Central Florida Auto Gallery Inc",120,2642000
"Remarketing By Ge/Larry H Miller-fleet Lease",180,2638800
"Honda R&d Americas Inc",124,2627450
"Vw Credit Inc/Pilot",154,2623500
"Auto Focus Inc",136,2621600
"Flexco Fleet Services",270,2599900
"Las Vegas Motorcars Llc",103,2595400
"Toyota Credit De Puerto Rico",191,2583000
"Gsp Transportation Inc",136,2579500
"Don's Wholesale Llc",173,2565385
"Exceptional Motorcars Ltd",208,2558900
"Wheels Ltd",190,2554700
"Remarketing By Ge/West Financial Acceptance",188,2537400
"Fiserv/Citizens One Auto Finance",175,2517650
"Newport Lexus",188,2506500
"Audi Pembroke Pines",134,2489050
"Sixt Rent A Car",89,2474550
"The Car Exchange",179,2462850
"Scotiabank De Puerto Rico",200,2458900
"Mike Albert Limited",194,2458150
"Blue Knob Auto Sales Inc",249,2448450
"Desert European Motorcars",87,2437500
"Primeritus Remarketing/Compass Bank",159,2429550
"Gm/Enterprise Vehicle Exchange",86,2428800
Fiserv,344,2393250
"Onesource/Southwest Remarketing",209,2386750
"Overland West",95,2375200
"Medlin Buick Gmc Mazda",159,2365305
"Brac Of Salt Lake City",70,2364900
"The Auto Connection",90,2362750
"Right Toyota",150,2358450
"Wichita Falls Ford Lin Inc",146,2333700
"J Zap Llc",206,2332975
"Land Rover Palm Beach",77,2326100
"Fiserv/Regions Bank",139,2326050
"Johnson Lexus Of Raleigh",137,2320800
"California Fleet Inc",238,2316350
"Desert Auto Trade",121,2312650
"Remarketing By Ge/The Credit Union Loan Source",157,2309400
"Budget Rent A Car/Kansas City Funding Llc",84,2300100
"Cire Leasing",96,2296200
"Toyota Motor Sales/Lexus",60,2295900
"Advantage Chevrolet/Ge",188,2295550
"Prestige Audi",102,2272850
"All Car Leasing Inc",162,2206000
"Humberview Chevrolet",98,2203950
"Plaza Motor Company",159,2195350
"Remarketing By Ge/Space Coast Credit Union",197,2189350
"Ambar Motors Inc",69,2187000
"Onemain Rem/M&m Auto Traders",164,2176000
"Remarketing By Ge/Michigan Schools & Govt Cu",222,2151075
"Audi Henderson",95,2138050
"Mercedes Benz Of Chicago",99,2085050
"Budget Of Omaha/Ars",84,2075500
"Tycon Enterprises",177,2059950
"Momentum Motorcars",184,2045500
"Remktgedge / Cars / Carfinance Capital Llc",191,2041700
"Hann Financial Services",131,2031300
Vroom,126,2024150
"159191 Canada Inc",104,2018650
"Dollar Thrifty Automotive Group",179,2009322
"Reedman Toll Auto World",141,2007650
"Contemporary Auto Sales",133,1976300
"Grow Financial Fcu",237,1975950
"Budget Rent A Car/Atlanta",86,1956800
"Fidelity Bank",130,1954100
"Crb Auto Finance",156,1950250
"Hyundai Buybacks",125,1944500
"Mercedes Benz Of Laguna Niguel",136,1928950
"Bank Of The West",102,1921600
"Wheels Lt",176,1917500
"California Auto Wholesale",104,1915400
"Mercedes Benz Of Temecula",125,1911300
"Wells Fargo Financial Acceptance",260,1885600
"Bmw Mini North America",85,1884000
"Kapitolia Auto Llc",123,1878275
"Boch Toyota/Scion South",341,1858275
"American Auto Brokers Inc",77,1857500
"Jaguar North America Llc",31,1854950
"Autosport Usa",54,1844700
"Summer Enterprises Of Miami Inc",89,1843075
"Metro Ford Inc",176,1839800
"Vpsi Inc",146,1818800
"Sossa Pre Owned",102,1807800
"Enterprise Fleet Management Exchange",153,1803300
"Robert Larson's Hyundai",189,1801750
"The Hertz Corporation/Gm",148,1789550
"Barco Fleet Services",53,1786700
"Randy Ford Inc",80,1780750
"Royal Rent A Car",68,1771400
"Nalley Lexus Smyrna",204,1765700
"Budget Rent A Car/Salt Lake City",70,1763350
"Lokey Motor Company",96,1760400
"Ricks Auto Marketing Center South",159,1757100
"Mike Albert Fleet Solutions",169,1750550
"Autolenders Liquidation Center",264,1748425
"M L Sim",169,1744700
"Remarketing By Ge/Suntrust Bank",134,1744100
"Knauz Continental Autos Inc",150,1740200
"L M Auto Wholesale",66,1739750
"Wheat Country Motors",64,1726250
"Fiserv/Global Lending Services",191,1722500
"Easy Car Leasing Llc Dba Brac Of Birmingham",81,1716300
"Ferco Motors Corp",120,1714000
"Ge Fleet Or Gefs By Apex Fleet As Agent",85,1713600
"Florida Auto And Truck Exchange Inc",163,1713290
"Platinum Motor Cars",57,1710450
"Enterprise Vehicle Exchange/Non Program",74,1703000
"Sti Remarketing",129,1679400
"C&f Finance Company",192,1663700
"Jr's Auto City Inc",114,1660900
"Toyota Motor Sales Usa Inc",82,1646600
"California Auto Exchange",239,1645400
"Northway Ford Lincoln",67,1640000
"Remarketing Of America",207,1634400
"Automobile Acceptance Corp",455,1630500
"Ahfc/Honda Lease Trust/Hvt Inc Acuras",85,1627650
"Automotive Solutions Inc",120,1619900
"Kelley Buick Gmc Inc",87,1611400
"Lexus Of Tacoma At Fife",125,1604850
"Texas Rv Outlet Superstore",107,1601050
"Reliable Financial Services Inc",171,1599500
"Chapman Corporate Wholesale",149,1574550
"Charles & Son Auto Sls Inc",110,1565900
"R M Hollenshead Auto Sales Inc",58,1557450
"Dollar Thrifty Auto Group",148,1555260
"Veros Credit",371,1547475
"Woodall Auto Wholesale Inc",83,1544900
"California Republic Bank",127,1543500
"Don Davis Nissan Inc",104,1538400
"Ubs Wholesale",54,1536350
"Universal Motors Of Miami Inc",101,1536075
"Economy Rent A Car & Sales Inc",82,1535200
"Silver Car",65,1533300
"Big Tree Auto Brokers",89,1529350
"Towbin Dodge",109,1524200
"Fratelli Investment Group",41,1522500
"Hendrick Buick Gmc Cadillac",137,1519775
"Harold Mathews Nissan Inc",79,1517900
"Toyota Financial Services/Tmct",90,1515700
"David J Leahy Jr",113,1514250
"Tradewinds Remarketing",185,1513600
"General American Rentals",63,1512050
"Midwest Car Corporation/Ally Financial",109,1510000
"Caprock Auto Remarketing",240,1504450
"Enterprise Vehicle Exchange/Ars/Coconut Creek",65,1499600
"Terryville Chevrolet Llc",70,1492350
"Rick Hendrick Chevrolet",208,1486950
"Carl Black Chevrolet Buick Gmc",96,1485450
"Vw Credit Xu Ready",37,1476950
"Fenton Auto Sales",130,1469350
"Nissan Marshlling",90,1468500
"Elad Motors",62,1466550
"Ars/Express Car And Truck Rental Inc",44,1462000
"Prestige Motorcar Imports Inc",63,1462000
"The Auto Group Collection Inc",54,1457600
"Highline Motor Cars Corp",83,1447450
"Bob Baker Jeep",199,1439575
"Automotive Solutions Llc",106,1434850
"Jaguar Land Rover North Scottsdale",48,1434550
"Nicholas Financial Inc/Clearwater",265,1428450
"Manheim Imports",98,1426899
"Certified Preowned Ford&lincoln/Mercury Dlr Unit",65,1418600
"Arcadia Chevrolet Buick Inc.",98,1414350
"Bb&t Asset Disposal",92,1405700
"Volvo Car Financial Service/World Omni",73,1399150
"Lexus Of Bellevue",140,1396900
"Symbolic Motor Cars",99,1395200
"Cat Wholesale Llc",72,1394850
"O'fallon Motorsports",94,1393950
"Coral Cadillac Inc",79,1386850
"Lobel Financial Corp",355,1386575
Bb&t,101,1385500
"J & S Auto Haus",170,1382550
"Toyota Of Orlando",86,1378400
"Richard J Bartlett Jr Enterprises",43,1374100
"Ferrari Of Orange County",23,1368750
"Cameron Motors",96,1358350
"Toyota Of Kirkland",112,1349875
"Fiserv/Citizens Auto Finance",93,1349800
"I Auto Sales Inc",85,1343650
"Usautoland Inc",65,1339350
"1 Cochran Of Monroeville",213,1331200
"Remarketing By Ge/Summit Financial Corp",163,1328350
"Crossroads Ford Inc",217,1327250
"Expert Auto Group Inc",124,1326750
"Napleton's Palm Beach Acura",74,1325450
"Supreme Fcu",117,1318300
"Luxury Motor Car Company",108,1312600
"Ideal Transportation",228,1301450
"Willis Cadillac Inc",74,1300500
"Remarketing By Ge/America First Credit Union",209,1289900
"Bmw North Scottsdale",55,1285150
"Prestige Auto Wholesale Inc",111,1278550
"Navy Fcu",130,1276100
"Elder Ford Of Tampa",71,1273200
"Germain Lexus",92,1270400
"Kia Motors America Inc/Company Cars",63,1266600
"Jim Butler Auto Plaza",60,1261200
"Woodhouse Chevrolet",66,1256025
"Coast Sports Cars Inc",92,1255950
"Bobb Automotive Inc",114,1240225
"Safford Chrysler Jeep Dodge Of Fredericksburg",124,1239200
"Security Service Fcu (Sscu)",131,1236450
"Motorcars Of South Texas",63,1236000
"Navy Federal Credit Union",138,1235900
"Fiserv/Security National Automotive Accept Corp",166,1230000
"Hendrick Bmw",135,1227100
"Rbm Of Atlanta Inc",71,1226950
"Tim Short Chevrolet",61,1225300
"Nvp Remarketing",110,1224100
"Palm Beach Motor Cars",54,1222050
"Robert Preussler Motors Llc",66,1221250
"Reeves Import Motorcars Inc",45,1220900
"Hyundai Motor America/Lease",86,1220100
"Gnm Auto Sales Inc",72,1218350
"East Coast Honda",91,1213800
"Nalley Bmw",122,1210200
"Onesource/Mega Auto Group Inc",52,1209200
"Northeast Leasing",98,1207175
"U S Auto Importing & Sales",59,1206250
"Ebenzz Motors",48,1203400
"Enterprise Vehicle Exchange-non Pgm/Orlando",58,1202900
"Nalley Toyota Of Roswell",209,1201900
"T. James Motorsports Llc",73,1201300
"Buyers Auto Sales",126,1200700
"International Motor Car Company",84,1200300
"Honda Manufacturing Of Alabama",44,1199650
"Route One Corporation",138,1196600
"Apexcars Net",80,1195150
"Car Sense Inc",115,1192500
"Billion Dodge Chrysler Jeep",199,1190100
"Remarketing By Ge/Xpress Rent A Car",95,1189400
"East Bay Bmw",149,1188700
"Ars/Budget Rac Of Atlanta",45,1188000
"Manheim Dallas",94,1185538
"Century Sales & Leasing Inc",67,1177850
"Stream Llc Dba Stream Remarketing Solutions",129,1171750
"Daniel Thomas Sales",75,1168950
"Bellco Fcu",110,1166200
"Lexus Of Annapolis",109,1161700
"Carriage Traders",69,1156050
"Germain Toyota Of Sarasota",101,1154500
"Car Collection Of Tampa Inc",97,1151600
"Trade In Solutions Irvine",105,1149700
"Gwinnett Place Honda",239,1145950
"Onesource/Savannah Toyota Scion",87,1135200
"Vci/Auto Gallery",31,1127500
"Metro Wholesale Outlet Inc",98,1125650
"Chrysler Group/Hertz/Pv Holding/000gd",61,1120614
"Bmw Of Murrieta",111,1120350
"Audi San Diego",74,1119350
"Nova Auto Sales Inc",35,1115750
"North State Acceptance",237,1113750
"Budget Rac Of Memphis",47,1110500
"Advantage Opco Llc",60,1109900
"Mitsubishi Motors Of America",64,1107200
"Centerpoint Auto Exchange Llc",62,1101250
"Holman Honda Of Fort Lauderdale",127,1099500
"Chicago Motor Car Corporation",19,1098050
"Tsj Auto Brokers Inc",48,1097050
"Hertz Damaged Liquidation",105,1093750
"Sullivan Auto Trading Inc",167,1092850
"Hinton Chevrolet Buick Inc",44,1092200
"Mcmb Financial",142,1091700
"Gaudin Jaguar Porsche Of Las Vegas",46,1091300
"A L Financial Corporation",176,1090450
"Primeritus Remarketing/Mag Interests",54,1090000
"Munter Motor Cars",73,1083500
"Mountain Motors Inc",58,1083300
"Westbury Jeep Chrysler Dodge Inc",84,1082950
"Germain Toyota Of Naples/Germain Scion Of Naples",132,1081350
"Financial Services Remarketing (Bmw Int)",7,1078000
"Remarketing By Ge/Manheim Riverside",57,1071000
"Arlington Hgts Chry Dod Jeep",112,1071000
"Repo Remarketing/Vantage West Credit Union",95,1067500
"Progressive Ford Inc",51,1063350
"Motor Trade",48,1063050
"9209 0851 Quebec Inc",57,1057500
"The Auto Gallery",22,1051800
"Pee Dee Auto Buyers",79,1050950
"Mitsubishi North America",60,1047900
"M And T Bank",107,1047250
"Bredemann Lexus In Glenview",44,1036300
"Jimmie Johnson Kearny Mesa Chevrolet",171,1033400
"Primeritus Remarketing/Coastal Fcu",94,1030800
"Regional Acceptance Corporation / Winterville",110,1029750
"Bob's Rentals Inc/Avis Systems Licensee",76,1028550
"Mascio Motor Car",81,1027700
"Hendrick Motors Of Charlotte",87,1025900
"Joshua Motor Car Co Inc",88,1020300
"Ocean Honda",145,1020150
"Holman Automotive Grp Inc",109,1018000
"Germain Bmw Of Naples",58,1016500
"Cig Financial",188,1016300
"Auto Plaza Motor Sports Llc",55,1015400
"Gte Fcu",102,1010200
"Gary Mathews Motors Inc.",57,1008600
"Jenkins Hyundai",80,1000400
"Commonwealth Audi Volkswagen",27,1000200
"Margate Volvo",92,999750
"Flag/Reeves Import Motorca",39,999100
"Remarketing By Ge/Meritrust Credit Union",129,998100
"Kerbeck Cadillac Pontiac Inc",35,994900
"Hendrick Honda",199,993200
"Edward Colosimo Auto Sales",64,992550
"Jaguar Land Rover Thousand Oaks",29,992000
"Sports Car Leasing",49,990350
"Donlen Exchange Services Inc",77,989800
"Audi North Scottsdale",43,987350
"Eckley Auto Brokers Inc",57,984250
"Car And Truck Rentals",71,977000
"Courtney Leasing Inc",63,976300
Eurocar,16,974250
"Findlay Acura",41,974000
"Rick Hendrick Chevrolet Of Buford",137,971700
"Bmw Of Arlington",109,971250
"Certified Motor Car Llc",107,969900
"Suzuki Of Newmarket",49,965300
"Lenders Assistance Corporation",102,964750
"Royal Coast Auto Inc",50,959800
"Bright Star Credit Union",126,958600
"Lexus Of Watertown",120,955350
"Millennium Cars",64,951250
"Davis Automotive",63,949350
"Honda Of Pasadena",97,947350
"Suntrust Bank Public",78,944500
"Colonial Auto Sales",83,941400
"Car City Inc",43,941100
"Hornburg Jaguar",35,939850
"Premium Cars Wholesale Ltd",44,936700
"Valley Kia",170,936500
"Autocelli Inc",78,934800
"Mercedes Benz Of Tyler",41,933100
"Toyota Motor Sales Usa Inc/Buyback",44,931450
"Direct Financial Solutions Inc",45,928500
"Pompano Ford Lincoln Mercury",106,927200
"Beverly Hills Porsche",27,926550
"Driscoll Motors",42,926000
"Mercedes Benz Of South Orlando",58,925850
"Green Toyota",57,925800
"Gmt Auto Sales Inc",56,921800
"Smith Haven Chrysler Jeep Dodge",50,920450
"Datura Auto Sales And Rentals",46,918600
"R K Chevrolet Inc",108,916450
"House Of Hondaz",52,912450
"Auto Lender Liquidation Center",159,911175
"Holman Ford Lincoln",120,908490
"Southeastern Auto Brokers Inc",35,905900
"Boykin Motors Of Johnston Co Inc",80,893150
"Flex Fleet Rental Exchange",25,890950
"Primeritus Remarketing/Crescent Bank & Trust",119,887250
"Mercedes Benz Of Bakersfield",38,886100
"Caseys Cars Inc",30,884000
"Calstar Motors Inc",37,882000
"Vegas Motorcars Inc",50,880549
"Rusnak Westlake Audi",30,880000
"Capital Chrysler Jeep Dodge Llc",118,878100
"Hamilton Honda",90,877850
"Briggs Auto Group Inc",50,876000
"Courtesy Chrysler Jeep Dodge",148,872100
"Hoehn Honda",141,870500
"Fox Rent A Car Tra",114,869250
"Rolls Royce Motorcars Manhattan",30,865550
"Rusnak Pasadena Jaguar Sterling Pasadena",25,864550
"Jaguar Aston Martin Naples",35,864200
"Progressive Remarketing",81,863985
"Quality Acceptance",273,859950
"Toyota Financial Services/Enterprise",52,858100
"Enterprise Rent A Car/Ars",35,858100
"Triangle Auto Sales Inc",88,858075
"Orange Coast Chrysler Jeep Dodge",81,854100
"800 Loan Mart",275,853500
"Holman Infiniti",75,853500
"Dollar Thrifty Auto Group/Faao",83,850301
"Acura Of Las Vegas",38,848300
"Trade In Solutions",97,845750
"Lexus Of Stevens Creek",68,845225
"Findlay Kia",53,843650
"Car Sense Incorporated",84,841275
"Bmw North America/Lemon Law Buy Backs",35,841275
"Brac Of Wichita - Wichita Landsman",31,841050
"Fiserv/Sierra Auto Finance",146,838500
"Baxter Chrysler Jeep Dodge",80,838200
"Sullivan Luxury Cars Llc",73,838000
"Car City Llc",37,837350
"C & J Rental",62,834650
"Wholesale Motor Sales Inc",66,832500
"Union Leasing Exchange Llc",58,832300
"Malco Enterprise Of Nevada/Dba Budget",44,831250
"First Community Credit Union",116,830900
"Hendrick Bmw Northlake",73,829849
"Primeritus Remarketing / Chesterfield Impor",138,827700
"Persichetti Motorsports Inc",40,822850
"First Credit Finance",232,822550
"Joyce Motors Corp",54,820700
"Napletons North Palm Auto Park Inc",78,819000
"All American Ford/Subaru",96,818250
"North York Chrysler Jeep Dodge Ram Fiat",21,817750
"Tidewater Motor Credit",97,816450
"Mercedes-benz Of Palm Beach",48,813400
"Huffines Chrysler Jeep Dodge Lewisville",121,813050
"Ht Automotive Llc",124,812700
"Southeastern Car & Truck Rental",50,811800
"My Car Llc",34,810950
"Mercedes Benz Of Ontario",46,810900
"All State Motor Inc",47,809700
"Superior Automotive Sales I",42,807600
"Best Buy Repos Inc",47,806600
"Central Florida Chrysler Jeep Dodge",48,806500
"Midwestern Auto Group",43,806300
"Luxury Cars Of Smithtown Inc",36,804300
"Pohanka Acura",121,803850
"Vci/Audi Of Downtown La",24,802750
"National Auto Lenders",84,801900
"Royalton Auto Enterprises Inc",52,800095
"Porsche Fin Svcs Dba Bentley Financial Services",7,799000
"Ars/Budget Rac Of Utah & Idaho",31,798400
"Schumacher Auto Group Inc",45,796400
"Enterprise Fm Trust",63,795050
"All Auto Imports Inc",38,794500
"Usaa Fleet",68,793900
"Fusion Auto Finance Llc",62,793700
"Heavenly Motors Of Texas Ltd",70,793050
"J Baer Remarketing",45,790350
"Stanford Car Co",29,790050
"Power Drive Inc",66,788050
"Go Financial",201,784500
"231 Car Sales Inc.",40,783850
"Mazda Of Wesley Chapel",52,782900
"Chapmans Las Vegas Dodge",51,782300
"Cannon Cadillac Of Lakeland",68,782300
"Remarketing By Ge/Manheim Pennsylvania",61,778900
"A & N Auto Sales Inc",50,778750
"Winter Motor Company Inc",34,777650
"Exclusive Cars Inc",33,777250
"Acura Of Seattle",69,775900
"Ruan Car Sales Inc",63,774850
"Toyota Of Olympia",70,773800
"Larry H. Miller Fleet Lease",47,772750
"Crown Auto Sales/Leasing",43,772700
"Land Rover Las Vegas",23,772500
"Galyen Leasing Inc",38,769400
"Ed Napleton Honda",119,764000
"Maher Chevrolet Inc",30,762100
"Findlay North Volkswagen",60,761700
"Auto Trakk Llc",126,760300
"Aaa Car Rental Inc",52,758950
"First Hawaiian Bank",104,758850
"Remarketing By Ge/Ge Capital Solutions",72,756050
"Lancaster Car Company Llc",37,755000
"Walser Leasing",48,754450
"Atlantic Coast Remarketing Inc/Tasi",64,752650
"Imperial Ford Corporation",127,750850
"Fred Martin Motor Co",48,750800
"Hendrick Lexus",87,750800
"Toyota Motor Sales Usa Inc/Buyback/Lexus",24,749900
"Logistics Leasing",80,748750
"Hacienda Ford",34,746800
"Southern Auto Finance Co/Safco/Ft Lauderdale",131,746700
"S/S Auto Wholesale",72,746500
"Manheim New Jersey",66,745900
"Northeast Auto Marketing",62,745750
"Global Motor Sports Inc",20,745200
