brand_model,transmission,brand_model_sales,avg_price
"Ford Transit Wagon",automatic,390000,27857.14
"Mercedes-Benz CLS-Class",automatic,8869190,27803.10
"Ford F-450 Super Duty",automatic,1583324,27777.61
"Porsche Cayenne",manual,55500,27750.00
"BMW ActiveHybrid X6",automatic,138400,27680.00
"BMW ActiveHybrid 5",automatic,55250,27625.00
"Audi S6",automatic,523100,27531.58
"Porsche Boxster",automatic,2544401,27359.15
"Audi A8",automatic,6221450,27287.06
"Infiniti FX",automatic,8120310,27249.36
"Audi Q5",automatic,10143500,26977.39
"Volvo V60",automatic,1909000,26887.32
"Cadillac Escalade Hybrid",automatic,832050,26840.32
"Nissan Murano CrossCabriolet",automatic,800000,26666.67
"Lexus RX 350",automatic,48885150,26596.93
"Chrysler Prowler",automatic,53000,26500.00
"Acura ZDX",automatic,713100,26411.11
"Audi Q7",automatic,8707750,26387.12
"BMW M3",manual,2004149,26370.38
"Lexus IS 250 C",automatic,2762150,26306.19
"Mercedes-Benz B-Class Electric Drive",automatic,52500,26250.00
"GMC Yukon XL",manual,26200,26200.00
"Acura TLX",automatic,26200,26200.00
"Infiniti G Convertible",automatic,6263800,26099.17
"Audi RS 4",manual,78200,26066.67
"Dodge Challenger",manual,4740300,25903.28
"Honda Accord Hybrid",automatic,206000,25750.00
"GMC Sierra 2500HD",automatic,9939400,25749.74
"Volkswagen Golf R",manual,514600,25730.00
"Infiniti G Convertible",manual,102900,25725.00
"Subaru Impreza WRX",manual,2364400,25700.00
"Toyota Avalon Hybrid",automatic,743050,25622.41
"Mercedes-Benz S-Class",automatic,26643402,25594.05
"Infiniti M",automatic,16680726,25273.83
"Infiniti G Coupe",manual,2196850,25251.15
"Mercedes-Benz Sprinter",automatic,1260151,25203.02
"Audi A5",automatic,5993900,25184.45
"Mercedes-Benz CL-Class",automatic,3169250,25152.78
"Mercedes-Benz GLK-Class",automatic,15912761,25098.99
"Chevrolet Corvette",automatic,6829052,25014.84
"Infiniti FX50",automatic,74100,24700.00
"Cadillac Escalade ESV",automatic,11732001,24543.94
"Lexus LS 600h L",automatic,97650,24412.50
"Acura MDX",manual,24400,24400.00
"BMW 6 Series",manual,219250,24361.11
"Volvo XC60",automatic,7522950,24346.12
"Ford F-450 Super Duty",manual,24300,24300.00
"Jaguar XF",automatic,7399900,23947.90
"Ford Transit Van",automatic,380650,23790.63
"Infiniti M56",automatic,166400,23771.43
"HUMMER H2 SUT",automatic,1299450,23626.36
"Mitsubishi Lancer Evolution",automatic,540500,23500.00
"Audi S4",automatic,2711200,23372.41
"Porsche Cayman S",manual,256500,23318.18
"Mitsubishi Lancer Evolution",manual,1973050,23212.35
"Infiniti G Sedan",manual,810750,23164.29
"Jeep Wrangler",automatic,44137667,23036.36
"Ram Promaster Cargo Van",automatic,1260350,22915.45
"Lincoln MKT",automatic,2542450,22904.95
"Ram 1500",automatic,59659586,22866.84
"Cadillac CTS Coupe",automatic,2474600,22702.75
"Nissan 370Z",manual,1520850,22699.25
"Ford F-350 Super Duty",automatic,20199583,22645.27
"BMW Z4",automatic,3701125,22567.84
"Infiniti EX",automatic,2500650,22528.38
"Toyota Land Cruiser",automatic,1756850,22523.72
"Lincoln MKX",automatic,17269060,22456.51
"Toyota Tacoma",automatic,19259826,22265.69
"Cadillac Escalade",automatic,19812003,22161.08
"Infiniti G Coupe",automatic,28449300,22156.78
"BMW X5",automatic,37993450,21999.68
"Infiniti M37",automatic,1532597,21894.24
"Mercedes-Benz M-Class",manual,21600,21600.00
"Audi S4",manual,734250,21595.59
"Cadillac ATS",manual,43000,21500.00
"GMC Savana",automatic,192800,21422.22
"Infiniti QX56",automatic,7684785,21406.09
"BMW Z4 M",manual,85500,21375.00
"Chevrolet Camaro",manual,6935900,21275.77
"Chevrolet Silverado 2500HD Classic",manual,21200,21200.00
"Ford Edge",manual,42300,21150.00
"Nissan NV Cargo",automatic,908850,21136.05
"MINI Cooper Paceman",manual,211150,21115.00
"Toyota Tundra",automatic,21243326,21095.66
"Subaru XV Crosstrek",automatic,3542750,21087.80
"Nissan 370Z",automatic,2065700,21078.57
"Volkswagen Golf GTI",manual,84300,21075.00
"Lincoln MKS",automatic,11703327,20973.70
"Nissan NV Passenger",automatic,62900,20966.67
"Ford Fusion Energi",automatic,876650,20872.62
"Volkswagen Golf GTI",automatic,83350,20837.50
"BMW 5 Series",automatic,62860675,20835.49
"Kia Cadenza",automatic,4296250,20754.83
"Plymouth Prowler",automatic,186200,20688.89
"Cadillac ATS",automatic,3103204,20688.03
"BMW M5",manual,205700,20570.00
"HUMMER H3T",automatic,102850,20570.00
"Chevrolet Silverado 2500HD",automatic,23851655,20544.06
"Subaru BRZ",automatic,203600,20360.00
"Audi A5",manual,406950,20347.50
"MINI Cooper Paceman",automatic,852900,20307.14
"Infiniti G37 Convertible",automatic,384550,20239.47
"Mercedes-Benz E-Class",automatic,51503858,20197.59
"Lexus ES 350",automatic,30998925,20051.05
"Ford F-250 Super Duty",automatic,38655451,19987.31
"Chevrolet Suburban",automatic,39793789,19956.76
"Infiniti G Sedan",automatic,126704703,19922.12
"Hyundai Santa Fe Sport",automatic,5010950,19884.72
"Lexus CT 200h",automatic,7417600,19833.16
"Cadillac SRX",automatic,18217495,19737.26
"Dodge Ram Pickup 3500",automatic,2287550,19720.26
"Dodge Challenger",automatic,16272151,19628.65
"Lexus GX 470",automatic,1760600,19562.22
"GMC Savana Cargo",automatic,10423700,19556.66
"Lexus IS 250",automatic,31152250,19531.19
"Toyota FJ Cruiser",automatic,5846250,19487.50
"Subaru BRZ",manual,545600,19485.71
"Ford E-Series Wagon",automatic,14262904,19405.31
"GMC Sierra 1500",automatic,36704265,19379.23
"Ford F-150",automatic,196383358,19344.30
"Lexus IS 350",automatic,3031000,19305.73
"Subaru XV Crosstrek",manual,77100,19275.00
"Mazda CX-5",automatic,8006503,19200.25
"Acura ILX",automatic,1686400,19163.64
"Jeep Wrangler",manual,16897190,19136.12
"MINI Cooper Roadster",manual,152750,19093.75
"Ford Explorer",automatic,95673341,19016.76
"Buick Enclave",automatic,16139450,18987.59
"Ford E-Series Van",automatic,19951551,18947.34
"GMC Sierra 2500HD Classic",automatic,303150,18946.88
"Porsche Boxster",manual,2099650,18915.77
"MINI Cooper Countryman",automatic,4893950,18895.56
"Chevrolet Camaro",automatic,24474955,18885.00
"Mercedes-Benz M-Class",automatic,24617825,18864.23
"Ford Flex",automatic,17124011,18859.04
"BMW 1 Series",automatic,4930850,18820.04
"Cadillac XLR",automatic,356800,18778.95
"Buick Encore",automatic,1458202,18694.90
"Buick Regal",manual,130700,18671.43
"Lexus GS 450h",automatic,428550,18632.61
"Chevrolet SSR",automatic,447150,18631.25
"Acura RDX",automatic,5196350,18558.39
"Ford Focus ST",automatic,37100,18550.00
"Ford Edge",automatic,77755554,18526.46
"Volkswagen Jetta GLI",automatic,462500,18500.00
"Acura TSX Sport Wagon",automatic,517800,18492.86
"Cadillac CTS Wagon",automatic,184850,18485.00
"Chevrolet Silverado 1500 Hybrid",automatic,55200,18400.00
"Scion FR-S",automatic,992950,18387.96
"Dodge Ram Pickup 3500",manual,734150,18353.75
"HUMMER H2",automatic,4731850,18340.50
"Hyundai Genesis",automatic,13139512,18325.68
"Honda Pilot",automatic,30513275,18304.30
"Ford Focus ST",manual,821000,18244.44
"BMW 1 Series",manual,783950,18231.40
"Mercedes-Benz SLK-Class",automatic,3959100,18161.01
"Chevrolet Tahoe",automatic,46206592,18084.77
"Volkswagen Beetle Convertible",manual,36100,18050.00
"BMW X3",automatic,16245925,18011.00
"Honda Crosstour",automatic,5050400,17972.95
"Subaru Forester",automatic,12580800,17946.93
"MINI Cooper Countryman",manual,1290600,17925.00
"Lexus GS 460",automatic,71400,17850.00
"Scion FR-S",manual,1568100,17819.32
"Volkswagen Beetle Convertible",automatic,605150,17798.53
"GMC Acadia",automatic,27113387,17767.62
"Acura ILX",manual,158600,17622.22
"BMW 7 Series",automatic,16736025,17616.87
"Mazda CX-9",automatic,10435000,17567.34
"Cadillac Escalade EXT",automatic,2071750,17557.20
"GMC Yukon Hybrid",automatic,385350,17515.91
"Ford Expedition",automatic,32710227,17510.83
"GMC Terrain",automatic,16323200,17495.39
"Honda Ridgeline",automatic,2959400,17306.43
"Volkswagen Jetta GLI",manual,189200,17200.00
"Lincoln MKZ",automatic,19383900,17169.09
"GMC Sierra 1500 Hybrid",automatic,34200,17100.00
"Chevrolet Express",automatic,4240002,17096.78
"Jeep Cherokee",automatic,7188250,17074.23
"Mercedes-Benz C-Class",automatic,59640832,17059.73
"Audi A6",automatic,10328975,17016.43
"Maserati Spyder",manual,17000,17000.00
"Toyota Prius v",automatic,1629650,16975.52
"Toyota Prius Plug-in",automatic,660150,16926.92
"MINI Cooper Coupe",manual,168400,16840.00
"Chevrolet Silverado 1500",automatic,88219011,16838.90
"GMC Yukon",automatic,18692726,16810.01
"Subaru Outback",automatic,18422650,16793.66
"Maserati Spyder",automatic,33550,16775.00
"Lexus HS 250h",automatic,1056500,16769.84
"GMC Yukon XL",automatic,17202707,16701.66
"Toyota Sequoia",automatic,6977150,16691.75
"BMW 3 Series",automatic,97710995,16685.62
"Chevrolet Traverse",automatic,26586767,16595.98
"GMC Sierra 3500",automatic,165450,16545.00
"Toyota Venza",automatic,7012603,16539.16
"Mazda CX-5",manual,98950,16491.67
"Volkswagen Jetta SportWagen",manual,130550,16318.75
"Nissan NV200",automatic,293200,16288.89
"Dodge Ram Pickup 2500",manual,455100,16253.57
"GMC Terrain",manual,16200,16200.00
"Hyundai Genesis Coupe",manual,1144900,16125.35
"Toyota 4Runner",automatic,17114397,16115.25
"Jeep Grand Cherokee",automatic,54620346,16074.26
"Lincoln Navigator",automatic,9271702,16068.81
"FIAT 500e",automatic,16000,16000.00
"Acura MDX",automatic,18103325,15824.58
"Ford Fusion Hybrid",automatic,6859652,15805.65
"Dodge Ram Pickup 2500",automatic,5809950,15787.91
"Volkswagen Jetta Hybrid",automatic,204950,15765.38
"BMW M",automatic,15750,15750.00
"Hyundai Genesis Coupe",automatic,2684650,15699.71
"Audi A3",automatic,2773950,15672.03
"Nissan Armada",automatic,10452307,15647.17
"Toyota Highlander",automatic,24153253,15602.88
"Hyundai Sonata Hybrid",automatic,7667370,15584.09
"Chevrolet Silverado 3500",automatic,481550,15533.87
"Ram CV Tradesman",automatic,62050,15512.50
"MINI Cooper Roadster",automatic,77100,15420.00
"Infiniti G37 Coupe",automatic,169050,15368.18
"MINI Cooper Coupe",automatic,276100,15338.89
"BMW Z4",manual,475200,15329.03
"Ford C-Max Hybrid",automatic,4012602,15257.04
"Toyota Tacoma",manual,1951200,15243.75
"Chevrolet Silverado 3500 Classic",automatic,45500,15166.67
"Nissan Rogue Select",automatic,1253100,15097.59
"Volvo XC70",automatic,1534700,15046.08
"Subaru Tribeca",automatic,781400,15026.92
"Mazda Mazdaspeed3",manual,523450,14955.71
"Suzuki Equator",automatic,29700,14850.00
"Nissan Juke",automatic,5360600,14849.31
"Nissan NV",automatic,489900,14845.45
"Cadillac CTS-V",manual,237200,14825.00
"Nissan Juke",manual,427450,14739.66
"Kia Sorento",automatic,40520473,14729.36
"Dodge Charger",manual,29300,14650.00
"Nissan Pathfinder",automatic,21279303,14645.08
"Cadillac STS-V",automatic,87550,14591.67
"Toyota FJ Cruiser",manual,553900,14576.32
"Land Rover LR3",automatic,479150,14519.70
"Honda Accord Crosstour",automatic,1377875,14503.95
"Chevrolet Tahoe",manual,14500,14500.00
"Mazda Mazdaspeed 3",manual,289750,14487.50
"Toyota RAV4",automatic,40329533,14480.98
"Infiniti G37",manual,317875,14448.86
"Toyota Sienna",manual,14400,14400.00
"Nissan Frontier",automatic,11324802,14371.58
"Subaru Impreza",manual,4204340,14252.00
"Ford Escape",automatic,125543396,14185.69
"Chevrolet Silverado 2500HD Classic",automatic,760200,14077.78
"Chrysler Town and Country",automatic,67162577,14033.13
"Volkswagen Tiguan",automatic,5769852,13970.59
"Volvo C30",manual,27800,13900.00
"Jaguar XK-Series",automatic,1014350,13895.21
"Dodge Durango",automatic,21534091,13892.96
"Chevrolet Tahoe Hybrid",automatic,347250,13890.00
"Ford Mustang",manual,9907660,13876.27
"Subaru Legacy",automatic,12142734,13861.57
"Chevrolet Impala Limited",automatic,14027151,13833.48
"Honda CR-V",automatic,34694084,13827.85
"Acura TSX",automatic,9834900,13793.69
"Nissan Rogue",automatic,52916007,13726.59
"Audi RS 6",automatic,68550,13710.00
"Toyota Camry Hybrid",automatic,6969087,13691.72
"Land Rover LR2",automatic,1241600,13643.96
"Volkswagen CC",automatic,6285752,13635.04
"Chevrolet Captiva Sport",automatic,11588806,13601.88
"Mazda MX-5 Miata",automatic,1208375,13577.25
"Toyota Sienna",automatic,31180955,13574.64
"Toyota Highlander Hybrid",automatic,2375525,13574.43
"Hyundai Veloster",automatic,4967000,13571.04
"Volkswagen Jetta SportWagen",automatic,1886600,13475.71
"Nissan Titan",automatic,8781125,13426.80
"Kia Optima",automatic,47150346,13414.04
"Chevrolet Avalanche",automatic,12423425,13401.75
"Hyundai Veloster",manual,1830900,13364.23
"Honda S2000",manual,547350,13350.00
"Ford Mustang",automatic,41692573,13341.62
"Mitsubishi Outlander Sport",automatic,4824700,13327.90
"Infiniti G37",automatic,2041650,13257.47
"Hyundai Elantra GT",automatic,2374250,13190.28
"Hyundai Elantra GT",manual,316250,13177.08
"Buick Verano",automatic,3726851,13169.08
"Volvo S60",automatic,11329125,13158.10
"Hyundai Azera",automatic,3454600,13135.36
"Lincoln Navigator L",automatic,235250,13069.44
"Kia Sportage",automatic,13147328,13030.06
"Nissan Maxima",automatic,64257849,13018.20
"Chevrolet Volt",automatic,5696100,13004.79
"Volkswagen Beetle",manual,273050,13002.38
"Subaru Impreza",automatic,6470750,12915.67
"Infiniti EX35",automatic,669050,12866.35
"Toyota Prius c",automatic,1401450,12857.34
"Honda S2000",automatic,25700,12850.00
"Audi A4",automatic,20072075,12825.61
"Maserati Coupe",automatic,25500,12750.00
"Lincoln MKZ Hybrid",automatic,127300,12730.00
"BMW 5 Series",manual,838875,12710.23
"Dodge Charger",automatic,46588961,12673.82
"Volkswagen Beetle",automatic,4276550,12615.19
"Volkswagen GLI",manual,201500,12593.75
"Subaru Forester",manual,664250,12533.02
"Pontiac G8",automatic,1039100,12519.28
"Toyota Highlander",manual,12500,12500.00
"Nissan Murano",automatic,27376233,12426.80
"Dodge Journey",automatic,30849754,12409.39
"Buick LaCrosse",automatic,12284559,12408.65
"MINI Cooper Clubman",automatic,2133500,12404.07
"Lincoln Mark LT",automatic,669450,12397.22
"Ford Thunderbird",automatic,878750,12376.76
"Hyundai Elantra Coupe",automatic,890550,12368.75
"Volvo C30",automatic,295950,12331.25
"Ram Dakota",automatic,369500,12316.67
"Hyundai Tucson",automatic,8448500,12315.60
"Ford Fusion",automatic,119591117,12231.88
"Audi TT",automatic,647750,12221.70
"Chevrolet Silverado 2500HD",manual,24400,12200.00
"Volkswagen Touareg",automatic,2854350,12198.08
"Ford C-Max Energi",automatic,2305000,12195.77
"Lexus IS 250",manual,207250,12191.18
"Lexus RX 400h",automatic,1728900,12175.35
"Chevrolet Equinox",automatic,48286050,12175.00
"Volkswagen R32",automatic,121000,12100.00
"Mitsubishi Outlander Sport",manual,229000,12052.63
"Volkswagen GLI",automatic,385550,12048.44
"Honda Odyssey",automatic,33575125,11991.12
"FIAT 500L",automatic,2360950,11984.52
"Ford Expedition EL",automatic,514700,11969.77
"Chrysler 300",automatic,36335634,11917.23
"Jeep Compass",automatic,12498050,11914.25
"Mitsubishi Outlander",automatic,5297200,11824.11
"Chevrolet SSR",manual,11750,11750.00
"Acura TSX",manual,480200,11712.20
"Dodge Dart",automatic,9260553,11707.40
"Lexus SC 430",automatic,946100,11680.25
"Volkswagen Eos",automatic,1457700,11661.60
"Kia Soul",automatic,24129759,11645.64
"HUMMER H3",automatic,4037038,11600.68
"Toyota Camry",automatic,116982682,11539.03
"Volvo C70",automatic,1175227,11521.83
"Nissan Versa Note",manual,240950,11473.81
"Mazda MX-5 Miata",manual,1179575,11452.18
"FIAT 500L",manual,91300,11412.50
"Dodge Dart",manual,1220650,11407.94
"BMW 3 Series",manual,4745300,11379.62
"Chevrolet Cruze",automatic,55669038,11314.85
"Nissan Altima",automatic,166447374,11286.86
"Buick Regal",automatic,5312101,11278.35
"Hyundai Elantra Coupe",manual,134900,11241.67
"Jeep Patriot",automatic,15569925,11193.33
"Dodge Grand Caravan",automatic,72102767,11178.72
"Acura TL",automatic,17223000,11176.51
"Hyundai Veracruz",automatic,1416575,11154.13
"Infiniti FX35",automatic,2652550,11145.17
"Mazda 3",automatic,222450,11122.50
"HUMMER H3",manual,111200,11120.00
"Chevrolet Spark EV",automatic,11000,11000.00
"Chrysler 200",automatic,38202568,10968.29
"MINI Cooper Clubman",manual,1035975,10905.00
"Volkswagen Tiguan",manual,86950,10868.75
"GMC Sierra 1500 Classic",automatic,466850,10856.98
"Toyota Avalon",automatic,9277187,10837.84
"Volkswagen GTI",automatic,1926950,10825.56
"Volkswagen CC",manual,259800,10825.00
"Hyundai Sonata",automatic,58059428,10823.91
"Dodge Avenger",manual,21500,10750.00
"Ford Transit Connect",automatic,5223350,10747.63
"Ford F-350 Super Duty",manual,84800,10600.00
"MINI Cooper",automatic,9514675,10501.85
"Chevrolet Malibu",manual,10500,10500.00
"Honda CR-Z",automatic,785850,10478.00
"Volkswagen Touareg 2",automatic,282000,10444.44
"Mercedes-Benz SLK-Class",manual,135500,10423.08
"Cadillac CTS",automatic,15657031,10389.54
"Kia Forte",automatic,23670401,10372.66
"Mitsubishi Lancer Sportback",automatic,320900,10351.61
"Nissan Leaf",automatic,12753746,10293.58
"Toyota Prius",automatic,17001331,10272.71
"Nissan Versa Note",automatic,3937501,10200.78
"Mazda B-Series Truck",manual,40800,10200.00
"Mazda Tribute Hybrid",automatic,20400,10200.00
"Hyundai Elantra",automatic,50307179,10165.12
"Ford Taurus",automatic,34125085,10156.28
"Mercedes-Benz R-Class",automatic,2502900,10092.34
"Mazda Mazda5",automatic,4989911,10080.63
"Mazda RX-8",automatic,90700,10077.78
"Ford F-250 Super Duty",manual,120850,10070.83
"Hyundai Santa Fe",automatic,13351717,9956.54
"GMC Canyon",automatic,995650,9956.50
"Honda Accord",automatic,77899325,9915.90
"Pontiac GTO",automatic,257650,9909.62
"Mercury Milan Hybrid",automatic,59200,9866.67
"Nissan Quest",automatic,5472953,9861.18
"Mazda Mazda6",automatic,11144060,9809.91
"Infiniti M35",automatic,2010800,9808.78
"FIAT 500",manual,1468125,9787.50
"Dodge Ram Pickup 1500",automatic,16220050,9777.00
"Volkswagen Routan",automatic,1593100,9773.62
"Mazda 6",automatic,242100,9684.00
"Toyota Corolla",automatic,59815364,9652.31
"Nissan 350Z",automatic,472700,9646.94
"Pontiac GTO",manual,250350,9628.85
"Scion tC",automatic,4081700,9604.00
"Volkswagen Passat",automatic,22238157,9560.69
