brand_model,transmission,quantity_sold
"Lincoln Mark VIII",automatic,7
"Mazda Mazda5",manual,7
"Ford Explorer",manual,7
"Buick Regal",manual,7
"BMW i8",automatic,7
"Subaru WRX",automatic,7
"Audi TTS",automatic,6
"BMW M",manual,6
"Ford Contour",automatic,6
"Oldsmobile Cutlass Ciera",automatic,6
"Mazda CX-5",manual,6
"Volkswagen Phaeton",automatic,6
"Mercury Milan Hybrid",automatic,6
"GMC Sierra 1500HD",automatic,6
"Infiniti QX50",automatic,6
"Subaru Baja",manual,6
"Mazda B-Series Pickup",automatic,6
"Audi S7",automatic,6
"Chevrolet Silverado 1500 Classic",manual,6
"Pontiac G6",manual,6
"GMC Yukon Denali",automatic,6
"Saab 9-2X",automatic,6
"Nissan Truck",automatic,6
"Chevrolet Caprice",automatic,6
"Isuzu i-Series",automatic,6
"Cadillac STS-V",automatic,6
"Aston Martin DB9",automatic,6
"Jeep Cherokee",manual,6
"BMW ActiveHybrid X6",automatic,5
"BMW M6",manual,5
"Toyota MR2 Spyder",automatic,5
"Audi RS 6",automatic,5
"Cadillac CTS-V Coupe",manual,5
"Dodge Ram Cargo",automatic,5
"Honda Prelude",automatic,5
"Nissan 200SX",automatic,5
"Mazda RX-8",manual,5
"Jaguar X-Type",manual,5
"Chevrolet Tracker",manual,5
"MINI Cooper Roadster",automatic,5
"Dodge Stratus",manual,5
"Chevrolet Tahoe Limited/Z71",automatic,5
"Volvo 960",automatic,5
"Aston Martin V8 Vantage",manual,5
"Toyota Camry Solara",manual,5
"HUMMER H3T",automatic,5
"Honda Prelude",manual,5
"Lexus RC 350",automatic,5
"Audi SQ5",automatic,4
"Mercury Marauder",automatic,4
"Porsche Cayman S",automatic,4
"BMW M4",automatic,4
"Mazda B-Series Truck",manual,4
"Volkswagen Cabrio",manual,4
"Toyota Pickup",manual,4
"Infiniti G Convertible",manual,4
"Mercury Cougar",manual,4
"Scion xA",manual,4
"Chevrolet C/K 3500 Series",automatic,4
"Plymouth Neon",automatic,4
"Lexus GS 460",automatic,4
"Saturn Aura Hybrid",automatic,4
"Volkswagen Golf GTI",manual,4
"GMC Canyon",manual,4
"Porsche Macan",automatic,4
"Acura CL",manual,4
"Subaru Impreza WRX",automatic,4
"Mercury Tracer",automatic,4
"Ram CV Tradesman",automatic,4
"Mazda Mazdaspeed Protege",manual,4
"Geo Prizm",manual,4
"Lexus LS 600h L",automatic,4
"Lexus LX 450",automatic,4
"Mazda 626",manual,4
"Mazda Tribute",manual,4
"BMW Z4 M",manual,4
"Saab 9-5",manual,4
"Volvo V50",manual,4
"Toyota T100",automatic,4
"Subaru XV Crosstrek",manual,4
"Lexus RC F",automatic,4
"Volkswagen Golf GTI",automatic,4
"Cadillac ELR",automatic,3
"Bentley Continental GT Speed",automatic,3
"Mercedes-Benz SLS AMG",automatic,3
"Buick Roadmaster",automatic,3
"Chevrolet Silverado 1500 Hybrid",automatic,3
"Pontiac G3",manual,3
"Mazda Mazdaspeed MX-5 Miata",manual,3
"GMC Safari",automatic,3
"Infiniti Q60 Coupe",manual,3
"Ford F-150 Heritage",manual,3
"Audi A6",manual,3
"GMC Sonoma",manual,3
"GMC Sierra 2500",automatic,3
"GMC Sierra 1500",manual,3
"Volvo 850",manual,3
"Infiniti FX50",automatic,3
"Isuzu Rodeo",manual,3
"Ford Tempo",automatic,3
"Lincoln Blackwood",automatic,3
"Nissan NV Passenger",automatic,3
"Infiniti J30",automatic,3
"Suzuki Vitara",automatic,3
"Chevrolet Silverado 3500 Classic",automatic,3
"Nissan 200SX",manual,3
"Volkswagen EuroVan",automatic,3
"Ford Windstar Cargo",automatic,3
"Suzuki Reno",manual,3
"Honda Insight",manual,3
"Ford F-150 SVT Lightning",automatic,3
"Chevrolet C/K 1500 Series",manual,3
"Buick Riviera",automatic,3
"Mazda 3",manual,3
"Ford Shelby GT500",automatic,3
"Lamborghini Gallardo",automatic,3
"Audi TT RS",manual,3
"Isuzu i-Series",manual,3
"Audi RS 4",manual,3
"BMW M4",manual,3
"GMC Safari Cargo",automatic,2
"Mazda 6",manual,2
"Chrysler Prowler",automatic,2
"Ferrari F430",automatic,2
"Mitsubishi Outlander",manual,2
"Saturn L-Series",manual,2
"Mazda Truck",automatic,2
"Suzuki Equator",automatic,2
"Saab 9-2X",manual,2
"Kia Sephia",manual,2
"Oldsmobile Eighty-Eight Royale",automatic,2
"Mazda Tribute Hybrid",automatic,2
"Chevrolet Silverado 2500HD",manual,2
"Porsche Cayenne",manual,2
"Maserati Coupe",automatic,2
"Volvo C70",manual,2
"Aston Martin Rapide",automatic,2
"Daewoo Nubira",automatic,2
"Pontiac Montana SV6",automatic,2
"Mercedes-Benz E-Class",manual,2
"Maserati Spyder",automatic,2
"Isuzu Trooper",manual,2
"Volvo C30",manual,2
"Cadillac ATS",manual,2
"Ford Focus ST",automatic,2
"Dodge Charger",manual,2
"Suzuki Esteem",manual,2
"Mercury Mystique",automatic,2
"Ford E-150",automatic,2
"Plymouth Breeze",automatic,2
"Infiniti G20",manual,2
"Mazda B-Series Pickup",manual,2
"Volvo 940",automatic,2
"Ford Edge",manual,2
"Mercedes-Benz 190-Class",automatic,2
"Bentley Continental Flying Spur Speed",automatic,2
"Mazda Truck",manual,2
"Mitsubishi 3000GT",automatic,2
"Nissan 300ZX",manual,2
"BMW ActiveHybrid 5",automatic,2
"Chevrolet Blazer",manual,2
"GMC Sierra 1500 Hybrid",automatic,2
"Ford Explorer Sport Trac",manual,2
"Chevrolet S-10 Blazer",automatic,2
"Dodge Sprinter",automatic,2
"Honda S2000",automatic,2
"Ford E-250",automatic,2
"Mazda B-Series Truck",automatic,2
"Mercedes-Benz B-Class Electric Drive",automatic,2
"BMW X4",automatic,2
"Dodge Avenger",manual,2
"Volkswagen Beetle Convertible",manual,2
"Volkswagen R32",manual,1
"Toyota Sienna",manual,1
"Mitsubishi Lancer Sportback",manual,1
"Isuzu Rodeo Sport",automatic,1
"Dodge Spirit",automatic,1
"Toyota Pickup",automatic,1
"Cadillac CTS-V Wagon",manual,1
"Land Rover Range Rover",manual,1
"Chevrolet C/K 2500 Series",automatic,1
"Ford Explorer Sport",manual,1
"Chevrolet Corsica",automatic,1
"Mercedes-Benz 400-Class",automatic,1
"Chevrolet Silverado 2500HD Classic",manual,1
"Maserati GranSport",automatic,1
"Bentley Continental Supersports",automatic,1
"Maserati Spyder",manual,1
"Ford Aspire",manual,1
"Ford Aspire",automatic,1
"Lexus SC 300",manual,1
"Suzuki Vitara",manual,1
"Volvo V70",manual,1
"Isuzu Amigo",automatic,1
"Chevrolet Prizm",manual,1
"BMW M",automatic,1
"GMC Terrain",manual,1
"Chevrolet Impala",manual,1
"Chrysler Pacifica",manual,1
"Toyota Tercel",manual,1
"Toyota Highlander",manual,1
"Mercedes-Benz ML55 AMG",automatic,1
"Chevrolet Silverado 3500",manual,1
"Chrysler 200",manual,1
"Bentley Continental GTC Speed",automatic,1
"FIAT 500e",automatic,1
"GMC Yukon XL",manual,1
"Suzuki Sidekick",automatic,1
"Chevrolet S-10 Blazer",manual,1
"GMC Jimmy",manual,1
"BMW 8 Series",automatic,1
"Mercedes-Benz 420-Class",automatic,1
"Chevrolet SSR",manual,1
"Oldsmobile Achieva",automatic,1
"Toyota Paseo",automatic,1
"Acura MDX",manual,1
"Lotus Exige",manual,1
"Mazda MPV",manual,1
"HUMMER H1",automatic,1
"Mercedes-Benz SLS AMG GT",automatic,1
"Mercedes-Benz M-Class",manual,1
"Geo Metro",automatic,1
"Ford F-450 Super Duty",manual,1
"Chevrolet Tahoe",manual,1
"Jeep Grand Cherokee SRT",automatic,1
"Chevrolet Spark EV",automatic,1
"Ford E-350",automatic,1
"Chevrolet Malibu",manual,1
"Ferrari 360",manual,1
"Mercedes-Benz GLA-Class",automatic,1
"Acura TLX",automatic,1
"Ferrari 458 Italia",automatic,1
