brand_model,transmission,quantity_sold
"Jeep Cherokee",automatic,421
"Toyota Sequoia",automatic,418
"BMW 3 Series",manual,417
"Mazda CX-5",automatic,417
"Volkswagen Tiguan",automatic,413
"Buick LeSabre",automatic,390
"Nissan Versa Note",automatic,386
"GMC Sierra 2500HD",automatic,386
"Saturn Aura",automatic,383
"Audi Q5",automatic,376
"Lexus CT 200h",automatic,374
"Dodge Ram Pickup 2500",automatic,368
"Hyundai Veloster",automatic,366
"Lexus RX 330",automatic,365
"Mitsubishi Outlander Sport",automatic,362
"Nissan Juke",automatic,361
"Mercedes-Benz CLK-Class",automatic,361
"Infiniti QX56",automatic,359
"Saturn ION",automatic,356
"Ford Focus",manual,353
"Pontiac Grand Am",automatic,353
"HUMMER H3",automatic,348
"Mercury Grand Marquis",automatic,346
"Mercedes-Benz SL-Class",automatic,342
"Volkswagen Beetle",automatic,339
"Kia Spectra",automatic,336
"Lexus LS 430",automatic,332
"Audi Q7",automatic,330
"Chevrolet Monte Carlo",automatic,329
"Chevrolet Camaro",manual,326
"smart fortwo",automatic,324
"Dodge Magnum",automatic,324
"Honda Fit",automatic,321
"Ford Five Hundred",automatic,320
"Mercedes-Benz CLS-Class",automatic,319
"Scion xB",automatic,315
"Jaguar XF",automatic,309
"Volvo XC60",automatic,309
"Toyota FJ Cruiser",automatic,300
"Infiniti FX",automatic,298
"Volvo S40",automatic,298
"FIAT 500",automatic,297
"Subaru Impreza",manual,295
"Chevrolet Uplander",automatic,295
"Land Rover Range Rover",automatic,293
"Mazda Mazda2",automatic,291
"Mazda CX-7",automatic,290
"Honda Accord",manual,288
"Chevrolet Cavalier",automatic,286
"Toyota Camry Solara",automatic,285
"Lexus ES 300",automatic,283
"Buick Verano",automatic,283
"Honda Crosstour",automatic,281
"Acura RDX",automatic,280
"Mazda Mazda3",manual,280
"Lexus ES 330",automatic,278
"Infiniti JX",automatic,277
"Chevrolet Blazer",automatic,275
"Chevrolet Corvette",automatic,273
"Hyundai Azera",automatic,263
"Ford C-Max Hybrid",automatic,263
"BMW 1 Series",automatic,262
"Mercury Mountaineer",automatic,260
"MINI Cooper Countryman",automatic,259
"HUMMER H2",automatic,258
"Chevrolet Spark",automatic,257
"Hyundai Santa Fe Sport",automatic,252
"Chevrolet Express",automatic,248
"Mercedes-Benz R-Class",automatic,248
"Ford Explorer Sport Trac",automatic,247
"Dodge Stratus",automatic,247
"Ford Freestyle",automatic,245
"Lexus RX 300",automatic,241
"Infiniti G Convertible",automatic,240
"Ford Ranger",manual,240
"Saturn Outlook",automatic,239
"Mitsubishi Eclipse",automatic,239
"Audi A5",automatic,238
"Infiniti FX35",automatic,238
"Buick Rendezvous",automatic,235
"Volkswagen Touareg",automatic,234
"Cadillac STS",automatic,233
"Mercury Mariner",automatic,233
"BMW X1",automatic,230
"Mercury Milan",automatic,229
"Audi A8",automatic,228
"Toyota Matrix",automatic,226
"Pontiac Torrent",automatic,226
"Saab 9-3",automatic,225
"Ford Freestar",automatic,225
"Volvo S80",automatic,222
"Lincoln Town Car",automatic,222
"Toyota Corolla",manual,220
"Saturn S-Series",automatic,220
"Kia Soul",manual,219
"Mercedes-Benz SLK-Class",automatic,218
"Suzuki SX4",automatic,217
"GMC Envoy XL",automatic,212
"Porsche Panamera",automatic,211
"BMW 4 Series",automatic,208
"Kia Cadenza",automatic,207
"Jaguar S-Type",automatic,206
"Infiniti M35",automatic,205
"Honda Element",automatic,203
"Honda Insight",automatic,199
"FIAT 500L",automatic,197
"Volkswagen Golf",automatic,196
"BMW X6",automatic,193
"Suzuki Forenza",automatic,193
"Ram 3500",automatic,192
"Ford C-Max Energi",automatic,189
"Nissan Cube",automatic,187
"Chrysler Aspen",automatic,187
"Chrysler Pacifica",automatic,184
"Dodge Challenger",manual,183
"Dodge Caravan",automatic,182
"Lincoln LS",automatic,180
"Hyundai Elantra GT",automatic,180
"Buick Century",automatic,179
"Volkswagen GTI",automatic,178
"Chevrolet Corvette",manual,178
"Mazda Tribute",automatic,178
"Audi A3",automatic,177
"Lexus GS 300",automatic,177
"Mercury Sable",automatic,177
"Lexus GX 460",automatic,176
"Mitsubishi Mirage",automatic,176
"Toyota Highlander Hybrid",automatic,175
"MINI Cooper Clubman",automatic,172
"Chevrolet Cruze",manual,172
"Hyundai Genesis Coupe",automatic,171
"Honda Ridgeline",automatic,171
"Jaguar XJ",automatic,169
"Dodge Neon",automatic,169
"Subaru XV Crosstrek",automatic,168
"Scion tC",manual,168
"Suzuki Grand Vitara",automatic,166
"Chevrolet TrailBlazer EXT",automatic,166
"BMW Z4",automatic,164
"Volkswagen Routan",automatic,163
"Pontiac Vibe",automatic,161
"Infiniti QX",automatic,160
"Lexus IS 350",automatic,157
"Audi A4",manual,157
"Saturn L-Series",automatic,157
"Chevrolet Silverado 1500 Classic",automatic,155
"Chevrolet S-10",automatic,155
"Hyundai Elantra",manual,154
"Infiniti G37",automatic,154
"Mitsubishi Endeavor",automatic,154
"Volkswagen GTI",manual,153
"Infiniti QX60",automatic,152
"Nissan Sentra",manual,152
"Nissan Versa",manual,151
"FIAT 500",manual,150
"Cadillac ATS",automatic,150
"Chevrolet Malibu Maxx",automatic,149
"Jaguar X-Type",automatic,148
"Chevrolet Cobalt",manual,148
"Chevrolet Venture",automatic,148
"Ford Fiesta",manual,143
"Jaguar XJ-Series",automatic,143
"Lexus RX 400h",automatic,142
"Volkswagen Jetta SportWagen",automatic,140
"Mitsubishi Lancer",manual,138
"Kia Rondo",automatic,137
"Hyundai Veloster",manual,137
"Volvo V70",automatic,136
"Cadillac Seville",automatic,134
"Chevrolet Silverado 3500HD",automatic,134
"Lexus RX 450h",automatic,133
"Scion xD",automatic,132
"Toyota Tacoma",manual,128
"Hyundai Veracruz",automatic,127
"Mercedes-Benz CL-Class",automatic,126
"Cadillac XTS",automatic,126
"Volkswagen Eos",automatic,125
"Suzuki XL7",automatic,125
"Mitsubishi Montero Sport",automatic,124
"Porsche 911",automatic,123
"BMW 5 Series Gran Turismo",automatic,122
"Cadillac Escalade EXT",automatic,118
"BMW M3",automatic,117
"Audi S4",automatic,116
"Dodge Ram Pickup 3500",automatic,116
"Scion iQ",automatic,116
"Ford Escape Hybrid",automatic,113
"Hyundai Accent",manual,112
"Land Rover LR4",automatic,111
"Infiniti EX",automatic,111
"Lincoln MKT",automatic,111
"Porsche Boxster",manual,111
"Cadillac CTS Coupe",automatic,109
"Volkswagen New Beetle",manual,109
"Toyota Prius c",automatic,109
"Hyundai Equus",automatic,108
"Oldsmobile Alero",automatic,108
"Pontiac Bonneville",automatic,108
"Dodge Dart",manual,107
"Nissan Frontier",manual,107
"Ford Windstar",automatic,107
"Lexus IS 250 C",automatic,105
"Mazda MX-5 Miata",manual,103
"Volvo XC70",automatic,102
"Volvo C70",automatic,102
"Mitsubishi Eclipse Spyder",automatic,102
"Buick Park Avenue",automatic,101
"Mazda Mazda6",manual,101
"Land Rover Range Rover Evoque",automatic,100
"GMC Canyon",automatic,100
"Lincoln Aviator",automatic,100
"Mazda MPV",automatic,100
"Audi A7",automatic,99
"Mercedes-Benz CLA-Class",automatic,99
"Nissan 370Z",automatic,98
"Ford Excursion",automatic,98
"Dodge Sprinter Cargo",automatic,97
"Toyota Prius v",automatic,96
"Hyundai Tiburon",automatic,96
"Lexus IS 300",automatic,96
"MINI Cooper Clubman",manual,95
"Honda Accord Crosstour",automatic,95
"Nissan Altima",manual,94
"Porsche Boxster",automatic,93
"Subaru Impreza WRX",manual,92
"Mitsubishi Eclipse",manual,92
"Land Rover LR2",automatic,91
"Lexus GX 470",automatic,90
"Ford F-150",manual,90
"Mazda MX-5 Miata",automatic,89
"Volkswagen Passat",manual,89
"Acura ILX",automatic,88
"Scion FR-S",manual,88
"Infiniti I35",automatic,88
"Infiniti G Coupe",manual,87
"Hyundai Elantra Touring",automatic,86
"Pontiac G5",automatic,85
"Mitsubishi Lancer Evolution",manual,85
"Jeep Patriot",manual,85
"Acura RL",automatic,85
"Toyota Yaris",manual,84
"Infiniti QX80",automatic,84
"Ford Crown Victoria",automatic,84
"Scion xB",manual,83
"Dodge Intrepid",automatic,83
"Nissan Rogue Select",automatic,83
"Pontiac G8",automatic,83
"Lincoln Zephyr",automatic,83
"Infiniti G35",manual,82
"Buick Rainier",automatic,82
"Lexus SC 430",automatic,81
"Lexus LX 570",automatic,80
"Chrysler 300M",automatic,80
"Mercury Montego",automatic,79
"Toyota Land Cruiser",automatic,78
"Kia Amanti",automatic,78
"Buick Encore",automatic,78
"Acura CL",automatic,77
"BMW 6 Series Gran Coupe",automatic,76
"Audi S5",automatic,76
"BMW M3",manual,76
"Ford Explorer Sport",automatic,76
"Kia Rio",manual,75
"Honda CR-Z",automatic,75
"Jaguar XK",automatic,74
"Nissan Altima Hybrid",automatic,74
"Ford Econoline Wagon",automatic,74
"Ford Shelby GT500",manual,74
"Isuzu Rodeo",automatic,74
"Jaguar XK-Series",automatic,73
"Chevrolet Sonic",manual,73
"Hyundai Elantra Coupe",automatic,72
"Ford Escort",automatic,72
"MINI Cooper Countryman",manual,72
"Volvo V60",automatic,71
"Ford Thunderbird",automatic,71
"Hyundai Genesis Coupe",manual,71
"Mazda Protege",automatic,71
"Infiniti M37",automatic,70
"Lexus LS 400",automatic,70
"Kia Forte",manual,70
"Kia Borrego",automatic,69
"Honda Fit",manual,68
"Subaru B9 Tribeca",automatic,68
"Pontiac Montana",automatic,68
"Nissan 370Z",manual,67
"Pontiac Sunfire",automatic,67
"Dodge Caliber",manual,67
"Toyota Camry",manual,67
"BMW 5 Series",manual,66
"Acura RSX",manual,65
"Ford Taurus X",automatic,65
"Lexus HS 250h",automatic,63
"BMW M5",automatic,62
"Saturn ION",manual,62
"Saturn VUE",manual,62
"Hyundai XG350",automatic,62
"Lexus ES 300h",automatic,61
"Chevrolet Aveo",manual,61
"Chrysler Concorde",automatic,60
"Saturn S-Series",manual,60
"Hyundai Tiburon",manual,60
"Hyundai Entourage",automatic,59
"Acura RSX",automatic,58
"Kia Spectra",manual,58
"Ford Fusion",manual,58
"Ford F-450 Super Duty",automatic,57
"Mazda 626",automatic,57
"Lincoln Continental",automatic,56
"Subaru Legacy",manual,56
"Saab 9-3",manual,56
"Infiniti M45",automatic,55
"HUMMER H2 SUT",automatic,55
"Infiniti QX70",automatic,55
"Chrysler PT Cruiser",manual,55
"Volvo S70",automatic,55
"Ram Promaster Cargo Van",automatic,55
"Scion FR-S",automatic,54
"Dodge Ram Pickup 1500",manual,54
"Lincoln Mark LT",automatic,54
"Chevrolet Silverado 2500HD Classic",automatic,54
"Saturn Relay",automatic,54
"Kia K900",automatic,53
"Audi TT",automatic,53
"Volkswagen Rabbit",automatic,53
"Nissan Xterra",manual,53
"Subaru Forester",manual,53
"Saab 9-5",automatic,52
"Subaru Tribeca",automatic,52
"Chevrolet Corvette Stingray",automatic,52
"Infiniti EX35",automatic,52
"Suzuki XL-7",automatic,51
"Porsche 911",manual,51
"Nissan GT-R",automatic,50
"Mercedes-Benz Sprinter",automatic,50
"Mercedes-Benz G-Class",automatic,49
"Nissan 350Z",automatic,49
"GMC Envoy XUV",automatic,48
"Buick Terraza",automatic,48
"Maserati Quattroporte",automatic,48
"BMW 3 Series Gran Turismo",automatic,48
"Mitsubishi Montero",automatic,47
"Subaru Outback",manual,47
"Cadillac Eldorado",automatic,47
"Audi TT",manual,47
"Infiniti I30",automatic,46
"Saab 9-7X",automatic,46
"Toyota Celica",automatic,46
"Infiniti QX4",automatic,45
"Mazda Millenia",automatic,45
"GMC Sierra 3500HD",automatic,45
"Ford Focus ST",manual,45
"Chevrolet Classic",automatic,45
"GMC Sonoma",automatic,44
"Suzuki SX4",manual,44
"Lexus GS 430",automatic,44
"BMW 1 Series",manual,43
"Toyota Matrix",manual,43
"Oldsmobile Intrigue",automatic,43
"Ford Expedition EL",automatic,43
"Lexus LX 470",automatic,43
"GMC Sierra 1500 Classic",automatic,43
"Nissan NV Cargo",automatic,43
"MINI Cooper Paceman",automatic,42
"Jeep Compass",manual,42
"Volkswagen Golf",manual,42
"Ford Fusion Energi",automatic,42
"Pontiac Firebird",automatic,42
"Honda S2000",manual,41
"Ford Escape",manual,41
"Acura TSX",manual,41
"Chevrolet Lumina",automatic,41
